,SSIM11,SSIM51,PSNR
30000,0.5079711675643921,0.4245736300945282,20.00051157256715
31000,0.4914632737636566,0.4085697829723358,19.45326905632221
32000,0.48423266410827637,0.4051859378814697,19.6170046485828
33000,0.4912067651748657,0.4181649386882782,19.59353835988759
34000,0.5039729475975037,0.4318651258945465,19.411563333989747
35000,0.5194140672683716,0.46012765169143677,20.068765331595106
36000,0.4818183481693268,0.4035773277282715,17.940545069063596
37000,0.5389511585235596,0.49454423785209656,20.632063047137596
38000,0.5409978628158569,0.4970024526119232,20.576718564152543
39000,0.5790661573410034,0.5418227910995483,19.787415450366353
40000,0.5684466361999512,0.5387173891067505,18.899703540343047
41000,0.5823469161987305,0.5538890361785889,20.473540032545408
42000,0.5568631887435913,0.54594886302948,19.61231201178989
43000,0.5536836385726929,0.518114447593689,20.143411082563972
44000,0.6092274188995361,0.5744549632072449,20.792851005422555
45000,0.5927252173423767,0.5576056241989136,20.224403093727535
46000,0.5860648155212402,0.5543242692947388,18.962006044296512
47000,0.619176983833313,0.5835447311401367,19.97381206505591
48000,0.6184850931167603,0.6017681360244751,20.0207785380862
49000,0.5651654005050659,0.534917950630188,18.946396971616505
50000,0.6200788021087646,0.6092661023139954,19.690473921499446
51000,0.6544625759124756,0.6411661505699158,20.70549238394609
52000,0.6440548896789551,0.6206282377243042,20.3452570062582
53000,0.6511867046356201,0.641189455986023,19.459871203461308
54000,0.6329696774482727,0.6161987781524658,20.04945699199458
55000,0.6257254481315613,0.6106365919113159,19.655516090528703
56000,0.5952305197715759,0.573238730430603,19.723416820078125
57000,0.6259501576423645,0.6057066917419434,19.863675082834497
58000,0.6562240123748779,0.6356911063194275,19.91597692144488
59000,0.6500577926635742,0.6396822929382324,20.612600876103993
60000,0.6595230102539062,0.6261903047561646,20.380788987402624
61000,0.6640503406524658,0.6444944739341736,20.42341997533226
62000,0.6308528780937195,0.608696460723877,19.88806054948468
63000,0.6639615297317505,0.653449296951294,20.61648338373397
64000,0.6248220205307007,0.6070583462715149,20.415443151241966
65000,0.6677834987640381,0.6505413055419922,20.414911209020538
66000,0.6531163454055786,0.6529808044433594,19.680869598044282
67000,0.611807107925415,0.5986982583999634,19.074320738762058
68000,0.6320148706436157,0.6066973805427551,18.805096928965924
69000,0.6362078189849854,0.6130354404449463,19.50531104646358
70000,0.6809216141700745,0.6683560609817505,20.019945897540474
71000,0.6279257535934448,0.603733241558075,18.925850851844064
72000,0.6884831786155701,0.6755936145782471,21.588444066324257
73000,0.6771098375320435,0.6622469425201416,20.235850476981447
74000,0.6801333427429199,0.6727368831634521,20.311456033813748
75000,0.664588212966919,0.6332926750183105,20.456264128177374
76000,0.6750226020812988,0.6435999870300293,19.820828032388206
77000,0.6828067898750305,0.6505075693130493,20.58868824708182
78000,0.6294294595718384,0.6099175810813904,18.406684152953144
79000,0.6373621821403503,0.6082932353019714,19.693812004825183
80000,0.6686358451843262,0.6531933546066284,20.552620426411984
81000,0.6590986251831055,0.6312021613121033,19.53150791869331
82000,0.6499218940734863,0.6221594214439392,19.688461240728632
83000,0.6599358320236206,0.643136739730835,20.30843697950214
84000,0.656449556350708,0.6470417380332947,18.98159569982148
85000,0.6582170724868774,0.6344393491744995,19.481804814171834
86000,0.6795933842658997,0.6523560285568237,20.351929500999546
87000,0.6298871636390686,0.6082651615142822,18.852464136564894
88000,0.6901472806930542,0.6734195947647095,20.57835298007214
89000,0.6781457662582397,0.6639785766601562,20.23126013913067
90000,0.6831518411636353,0.6695157885551453,20.63086227121797
91000,0.6897448301315308,0.6673862934112549,21.05706926288101
92000,0.658720850944519,0.6371472477912903,19.741946335694905
93000,0.651150643825531,0.6253437995910645,19.97493641187928
94000,0.6511228680610657,0.6263566017150879,18.874694875839108
95000,0.6569602489471436,0.636643648147583,19.67615991965524
96000,0.6804423928260803,0.6674795150756836,20.724067331041297
97000,0.6793680191040039,0.647621214389801,21.20994374787829
98000,0.6868801116943359,0.6667571067810059,20.003712835855907
99000,0.6660151481628418,0.6492055058479309,20.376969980636353
100000,0.6853999495506287,0.6563053131103516,19.76208055975562
101000,0.6633414626121521,0.6395596265792847,19.82751441639173
102000,0.6650880575180054,0.6271227598190308,20.66720703580424
103000,0.6662253141403198,0.6540858745574951,19.971643114993572
104000,0.6616370677947998,0.6237285137176514,20.383721098278468
105000,0.6998587846755981,0.6685633659362793,19.95971530043756
106000,0.6724588871002197,0.6554871201515198,19.88803952426889
107000,0.6499664783477783,0.6342756748199463,20.005939320930793
108000,0.6948813199996948,0.6744792461395264,20.49853444758248
109000,0.6930997371673584,0.6792939901351929,20.411825282822118
110000,0.6682403087615967,0.6538217067718506,20.289022482294286
111000,0.6701255440711975,0.647496223449707,19.211651606767404
112000,0.6798816323280334,0.6636855006217957,20.162207610853855
113000,0.6734751462936401,0.647508442401886,19.79738372147635
114000,0.6752797365188599,0.6598313450813293,19.917531635132917
115000,0.7060089111328125,0.6809872388839722,20.270992242381098
116000,0.6537529826164246,0.6310946941375732,20.101396815111393
117000,0.7109890580177307,0.6890224814414978,21.461689482443532
118000,0.6984876394271851,0.671985387802124,20.3279273886233
119000,0.6721744537353516,0.6441365480422974,20.027162897650193
120000,0.6805636882781982,0.6595877408981323,20.522762704067897
121000,0.696221113204956,0.6733076572418213,21.32916518303154
122000,0.6587580442428589,0.6359425783157349,19.73599124014961
123000,0.7023884057998657,0.6818233132362366,20.588797726692768
124000,0.6940538883209229,0.6737416982650757,19.986121556698954
125000,0.6678770780563354,0.6456970572471619,20.10437930678333
126000,0.6812537908554077,0.6572602987289429,19.50170939403075
127000,0.6831627488136292,0.6727606654167175,21.508645376328513
128000,0.6933491230010986,0.6697293519973755,20.79471509362934
129000,0.7000505328178406,0.6794697046279907,20.324522376752345
130000,0.6674959063529968,0.6494525671005249,19.002655652801597
131000,0.683525800704956,0.6714679002761841,20.806075374517008
132000,0.6790981888771057,0.6639953255653381,21.048346295567015
133000,0.6521540284156799,0.6259217858314514,20.239710497391066
134000,0.6900943517684937,0.6672874689102173,20.896729536321764
135000,0.6680271029472351,0.6358118057250977,20.68708883198802
136000,0.7063289880752563,0.6834126710891724,20.333376634300347
137000,0.700165867805481,0.6774578094482422,20.558130766599273
138000,0.6873335838317871,0.6743934750556946,20.482926166773126
139000,0.6639828681945801,0.6403405666351318,19.577858501705343
140000,0.6952686309814453,0.6765619516372681,20.36515411527538
141000,0.6723296642303467,0.6457022428512573,19.37664149406121
142000,0.6910410523414612,0.6595851182937622,19.9295219296424
143000,0.6780758500099182,0.6488747596740723,20.405884260951932
144000,0.706254243850708,0.6874701380729675,20.560314002801967
145000,0.6863895654678345,0.6578927040100098,19.210806239421128
146000,0.7002013921737671,0.6814845204353333,20.987417245529294
147000,0.668113112449646,0.6538440585136414,19.855464266517515
148000,0.6731743812561035,0.6527913212776184,19.593067313056963
149000,0.6739465594291687,0.6542348861694336,19.73389665553668
150000,0.6850041747093201,0.6599749326705933,20.547769643943624
151000,0.6960196495056152,0.6753619909286499,20.340318183032824
152000,0.6554044485092163,0.6287580728530884,19.474138386526427
153000,0.6872279644012451,0.6630752682685852,19.479767373040303
154000,0.7013301849365234,0.663363516330719,20.40219212925993
155000,0.6877347230911255,0.6708341240882874,19.46121913773472
156000,0.7113201022148132,0.7145454287528992,21.093554783795682
157000,0.6686082482337952,0.6499438881874084,20.37096279382773
158000,0.682043194770813,0.6492132544517517,19.06836894357593
159000,0.6828320026397705,0.6506518125534058,20.86507617271517
160000,0.7002226114273071,0.6738452911376953,20.32140102633057
161000,0.6647946834564209,0.6397804021835327,19.05041101171271
162000,0.705159068107605,0.6867519021034241,20.4840575360145
163000,0.6287655830383301,0.6052388548851013,19.37945148127529
